,zpid,price_str,price,zestimate,rent_zestimate,tax_assesed_value,beds,baths,sqft,lot_sqft,lot_acres,lat,lng,zip_code,city,state,address,status_type,status_text,home_type,is_preforeclosure,is_zillow_owned,days_on_zillow,link,miles_from_work,miles_from_work_class,price_per_square_foot,price_per_lot_size,lot_size_per_square_foot,beds_per_square_foot,baths_per_square_foot,beds_and_baths_per_square_foot,lot_sqft_vs_house_sqft,zestimate_vs_price
40,13183985,"$1,390,000",1390000.0,1390002.0,3421.0,936600.0,4.0,3.0,1882.0,6969.6,0.16,39.975853,-105.255,80305,Boulder,CO,1345 Georgetown Rd Boulder CO 80305,FOR_SALE,House for sale,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/1345-Georgetown-Rd-Boulder-CO-80305/13183985_zpid/,4.744430904679405,Best,738.575982996812,199.43755739210283,5087.6,470.5,627.3333333333334,268.85714285714283,3.703294367693943,2.0
41,249283497,"$699,000",699000.0,699004.0,2921.0,489270.0,2.0,4.0,1834.0,1742.4,0.04,39.913345,-105.147934,80021,Broomfield,CO,13259 Panorama View Ln Broomfield CO 80021,FOR_SALE,House for sale,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/13259-Panorama-View-Ln-Broomfield-CO-80021/249283497_zpid/,3.4902590504641178,Best,381.13413304253,401.1707988980716,-91.59999999999991,917.0,458.5,305.6666666666667,0.9500545256270447,4.0
42,13189845,"$1,200,000",1200000.0,,,775600.0,3.0,3.0,2092.0,6534.0,0.15,39.97982,-105.13602,80027,Louisville,CO,1001 Grant Ave Louisville CO 80027,FOR_SALE,House for sale,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/1001-Grant-Ave-Louisville-CO-80027/13189845_zpid/,6.0893312591528925,Best,573.6137667304015,183.65472910927457,4442.0,697.3333333333334,697.3333333333334,348.6666666666667,3.123326959847036,
43,13187095,"$1,295,000",1295000.0,,,941500.0,4.0,3.0,2149.0,6969.6,0.16,39.97783,-105.25628,80305,Boulder,CO,1180 Ithaca Dr Boulder CO 80305,FOR_SALE,House for sale,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/1180-Ithaca-Dr-Boulder-CO-80305/13187095_zpid/,4.89689241416361,Best,602.6058631921824,185.80693296602388,4820.6,537.25,716.3333333333334,307.0,3.243182875756166,
44,13197528,"$3,000,000",3000000.0,2967999.0,7264.0,1631900.0,3.0,5.0,4213.0,83635.2,1.92,39.98124,-105.192856,80303,Boulder,CO,280 S 68th St Boulder CO 80303,FOR_SALE,House for sale,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/280-S-68th-St-Boulder-CO-80303/13197528_zpid/,4.715748700369677,Best,712.0816520294327,35.87006427915519,79422.2,1404.3333333333333,842.6,526.625,19.851697127937335,-32001.0
45,13258437,"$995,000",995000.0,,,762500.0,4.0,4.0,2825.0,9583.2,0.22000000000000003,40.008015,-105.12939,80026,Lafayette,CO,2565 Lexington St Lafayette CO 80026,FOR_SALE,House for sale,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/2565-Lexington-St-Lafayette-CO-80026/13258437_zpid/,7.833249912960592,Good,352.21238938053096,103.82753151348192,6758.200000000001,706.25,706.25,353.125,3.392283185840708,
46,13185467,"$1,075,000",1075000.0,1075005.0,3640.0,715100.0,5.0,3.0,2408.0,10778.0,0.24742883379247016,39.99372,-105.25228,80305,Boulder,CO,3410 Ash Ave Boulder CO 80305,FOR_SALE,House for sale,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/3410-Ash-Ave-Boulder-CO-80305/13185467_zpid/,5.815699554131759,Best,446.42857142857144,99.74021154203007,8370.0,481.6,802.6666666666666,301.0,4.475913621262459,5.0
47,239898404,"$590,000",590000.0,590001.0,2364.0,364510.0,2.0,2.0,1216.0,4791.6,0.11000000000000001,39.893627,-105.14597,80021,Broomfield,CO,10835 Bear Cub Dr Broomfield CO 80021,FOR_SALE,House for sale,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/10835-Bear-Cub-Dr-Broomfield-CO-80021/239898404_zpid/,3.8821267406323066,Best,485.19736842105266,123.13214792553634,3575.6000000000004,608.0,608.0,304.0,3.94046052631579,1.0
48,13220759,"$825,000",825000.0,,,528400.0,3.0,2.0,1858.0,6969.6,0.16,39.9834,-105.155,80027,Louisville,CO,728 W Willow St Louisville CO 80027,FOR_SALE,House for sale,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/728-W-Willow-St-Louisville-CO-80027/13220759_zpid/,5.664838719036393,Best,444.0258342303552,118.37121212121211,5111.6,619.3333333333334,929.0,371.6,3.751130247578041,
49,13180709,"$2,600,000",2600000.0,2505454.0,8878.0,2153600.0,4.0,3.0,2392.0,17859.6,0.41,40.020996,-105.28257,80304,Boulder,CO,1039 Mapleton Ave Boulder CO 80304,FOR_SALE,House for sale,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/1039-Mapleton-Ave-Boulder-CO-80304/13180709_zpid/,8.18630415890394,Good,1086.9565217391305,145.5799681963762,15467.599999999999,598.0,797.3333333333334,341.7142857142857,7.46638795986622,-94546.0
50,13185646,"$2,150,000",2150000.0,2148837.0,6950.0,1378400.0,4.0,3.0,3670.0,20908.8,0.48,39.984646,-105.26185,80305,Boulder,CO,2390 Vassar Dr Boulder CO 80305,FOR_SALE,House for sale,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/2390-Vassar-Dr-Boulder-CO-80305/13185646_zpid/,5.450894985073203,Best,585.8310626702997,102.82751760024487,17238.8,917.5,1223.3333333333333,524.2857142857143,5.697220708446866,-1163.0
51,13224260,"$1,075,000",1075000.0,1075741.0,2951.0,667700.0,3.0,2.0,1593.0,3049.2,0.06999999999999999,39.980385,-105.239525,80305,Boulder,CO,1007 Tantra Park Cir Boulder CO 80305,FOR_SALE,House for sale,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/1007-Tantra-Park-Cir-Boulder-CO-80305/13224260_zpid/,4.726092537488539,Best,674.827369742624,352.5514889151253,1456.1999999999998,531.0,796.5,318.6,1.9141242937853107,741.0
52,13242738,"$1,395,000",1395000.0,1407681.0,4379.0,927500.0,5.0,4.0,3650.0,10454.4,0.24,39.977882,-105.16055,80027,Louisville,CO,802 Flatirons Ct Louisville CO 80027,FOR_SALE,House for sale,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/802-Flatirons-Ct-Louisville-CO-80027/13242738_zpid/,5.184952490772743,Best,382.1917808219178,133.4366391184573,6804.4,730.0,912.5,405.55555555555554,2.8642191780821915,12681.0
